2MASS,more,RAJ2000,DEJ2000,YSO,Teff,log(g),SimbadName
2M03472096+2348121,*,56.83734512,23.80336571,0,7500.0,4.42,2MASS J03472096+2348121
2M03472289+2255196,*,56.84541702,22.92212105,0,7090.0,4.62,2MASS J03472289+2255196
2M03472296+2450562,*,56.84568405,24.84896088,3,3260.0,5.34,2MASS J03472296+2450562
2M03472385+2308571,*,56.84938049,23.14921761,3,3200.0,5.02,2MASS J03472385+2308571
2M03472405+2435184,*,56.85021973,24.58847237,0,6610.0,4.19,2MASS J03472405+2435184
2M03472429+3103054,*,56.85122681,31.05151558,0,4310.0,3.15,2MASS J03472429+3103054
2M03472440+2354529,*,56.85167694,23.91471291,0,8330.0,4.79,2MASS J03472440+2354529
2M03472534+2402570,*,56.85559464,24.04916954,3,3810.0,5.5,2MASS J03472534+2402570
2M03472535+3221596,*,56.8556366,32.3665657,0,4790.0,3.64,2MASS J03472535+3221596
2M03472578+2508330,*,56.85745239,25.14251518,3,3150.0,5.36,2MASS J03472578+2508330
2M03472593+3144013,*,56.85805893,31.73370934,0,5250.0,3.98,2MASS J03472593+3144013
2M03472682+2340421,*,56.86177063,23.67836761,0,7420.0,4.38,2MASS J03472682+2340421
2M03472722+3230010,*,56.8634491,32.50028229,0,3460.0,5.91,2MASS J03472722+3230010
2M03472726+3101323,*,56.86359787,31.02565002,0,4480.0,4.99,2MASS J03472726+3101323
2M03472810+2326536,*,56.86712265,23.44823265,3,3440.0,5.42,2MASS J03472810+2326536
2M03472945+2417180,*,56.87274551,24.28833961,0,7880.0,4.56,2MASS J03472945+2417180
2M03473059+2422141,*,56.877491,24.3705883,3,3960.0,5.34,2MASS J03473059+2422141
2M03473345+2341330,*,56.8894043,23.69251442,3,3590.0,5.67,2MASS J03473345+2341330
2M03473367+2441032,*,56.89031982,24.68422318,3,4770.0,5.02,2MASS J03473367+2441032
2M03473478+2248048,*,56.89492035,22.80135155,3,3160.0,5.32,2MASS J03473478+2248048
2M03473520+2532382,*,56.89670563,25.5439682,3,4320.0,5.16,2MASS J03473520+2532382
2M03473573+3126584,*,56.89891434,31.44956017,0,4070.0,2.37,2MASS J03473573+3126584
2M03473800+2328051,*,56.90834045,23.46809578,3,4540.0,5.03,2MASS J03473800+2328051
2M03473804+2449110,*,56.9085083,24.8197403,3,3820.0,5.45,2MASS J03473804+2449110
2M03473806+2453306,*,56.9086113,24.89184189,3,4380.0,4.89,2MASS J03473806+2453306
2M03473935+2427322,*,56.91397858,24.45896149,3,3080.0,5.12,2MASS J03473935+2427322
2M03474037+2418071,*,56.91823959,24.30197334,0,4400.0,4.59,2MASS J03474037+2418071
2M03474044+2421525,*,56.91853714,24.36459351,3,5710.0,5.07,2MASS J03474044+2421525
2M03474097+2255480,*,56.92073441,22.93001366,3,4590.0,4.9,2MASS J03474097+2255480
2M03474117+2344251,*,56.92157364,23.74032211,3,4470.0,4.84,2MASS J03474117+2344251
2M03474143+2358190,*,56.92265701,23.97194481,3,4520.0,4.76,2MASS J03474143+2358190
2M03474160+3251437,*,56.92334366,32.86216354,3,3920.0,3.78,2MASS J03474160+3251437
2M03474500+3215378,*,56.93751526,32.26050949,0,8450.0,4.37,2MASS J03474500+3215378
2M03474638+2403025,*,56.94326401,24.0507164,3,3960.0,5.3,2MASS J03474638+2403025
2M03474683+2523085,*,56.94514847,25.38570786,0,7180.0,4.56,2MASS J03474683+2523085
2M03474711+3304034,*,56.94630814,33.06761551,2,4160.0,3.98,2MASS J03474711+3304034
2M03474785+2513345,*,56.94938278,25.22625732,3,3040.0,5.23,2MASS J03474785+2513345
2M03474811+2313053,*,56.95046234,23.21813965,3,5560.0,5.14,2MASS J03474811+2313053
2M03475033+3226225,*,56.9597168,32.43958664,0,6480.0,4.06,2MASS J03475033+3226225
2M03475094+2430188,*,56.96224976,24.50523758,3,3960.0,5.37,2MASS J03475094+2430188
2M03475252+2356286,*,56.96883774,23.94128227,0,6170.0,5.04,2MASS J03475252+2356286
2M03475286+2259341,*,56.97025681,22.99282837,3,2970.0,5.15,2MASS J03475286+2259341
2M03475526+2319060,*,56.98026657,23.31834412,3,3360.0,5.23,2MASS J03475526+2319060
