2MASS,more,RAJ2000,DEJ2000,YSO,Teff,log(g),SimbadName,coords
2M05514401+0937443,*,87.93341827,9.62897873,0,6650.0,4.67,2MASS J05514401+0937443,05h51m44.0204s +09d37m44.3234s
2M05514433-0029433,*,87.9347229,-0.49537799,0,5290.0,4.56,2MASS J05514433-0029433,05h51m44.3335s -00d29m43.3608s
2M05514451+0824069,*,87.93549347,8.40194321,0,5520.0,4.0,2MASS J05514451+0824069,05h51m44.5184s +08d24m06.9956s
2M05514513+0044155,*,87.93807983,0.73765302,0,5490.0,4.05,2MASS J05514513+0044155,05h51m45.1392s +00d44m15.5509s
2M05514604+0929200,*,87.94186401,9.48890972,0,5120.0,4.0,2MASS J05514604+0929200,05h51m46.0474s +09d29m20.075s
2M05515035+0821066,*,87.95979309,8.35185623,2,4320.0,4.13,2MASS J05515035+0821066,05h51m50.3503s +08d21m06.6824s
2M05515330+0036309,*,87.97210693,0.60859799,0,5450.0,5.23,2MASS J05515330+0036309,05h51m53.3057s +00d36m30.9528s
2M05515338+0047282,*,87.97244263,0.79118902,0,4130.0,2.18,2MASS J05515338+0047282,05h51m53.3862s +00d47m28.2805s
2M05515438-0011008,*,87.97659302,-0.183559,0,4240.0,4.98,2MASS J05515438-0011008,05h51m54.3823s -00d11m00.8124s
2M05515488+0028568,*,87.97867584,0.48245099,0,5810.0,5.23,2MASS J05515488+0028568,05h51m54.8822s +00d28m56.8236s
2M05515667+0913475,*,87.98613739,9.22986984,0,5220.0,4.2,2MASS J05515667+0913475,05h51m56.673s +09d13m47.5314s
2M05515930+0927593,*,87.9970932,9.46649265,0,5530.0,4.06,2MASS J05515930+0927593,05h51m59.3024s +09d27m59.3735s
2M05515962+0856152,*,87.99842072,8.9375639,0,6880.0,5.03,2MASS J05515962+0856152,05h51m59.621s +08d56m15.23s
2M05520276-0008292,*,88.01152802,-0.14146701,0,4690.0,3.76,2MASS J05520276-0008292,05h52m02.7667s -00d08m29.2812s
2M05520439+0041326,*,88.01830292,0.69240302,0,5270.0,3.93,2MASS J05520439+0041326,05h52m04.3927s +00d41m32.6509s
2M05520445+0918287,*,88.01856232,9.30798054,0,4940.0,3.85,2MASS J05520445+0918287,05h52m04.455s +09d18m28.7299s
2M05520771-0000112,*,88.03215027,-0.003126,0,5780.0,4.56,2MASS J05520771-0000112,05h52m07.7161s -00d00m11.2536s
2M05520943+0903296,*,88.03929138,9.05824566,0,5090.0,4.22,2MASS J05520943+0903296,05h52m09.4299s +09d03m29.6844s
2M05521032+0040050,*,88.04302216,0.66808301,0,5510.0,4.26,2MASS J05521032+0040050,05h52m10.3253s +00d40m05.0988s
2M05521084-0023332,*,88.04519653,-0.392573,0,6590.0,5.33,2MASS J05521084-0023332,05h52m10.8472s -00d23m33.2628s
2M05521305+0851342,*,88.05439758,8.85950756,0,5420.0,4.0,2MASS J05521305+0851342,05h52m13.0554s +08d51m34.2272s
2M05521384+0913205,*,88.05770111,9.22236347,0,4990.0,4.49,2MASS J05521384+0913205,05h52m13.8483s +09d13m20.5085s
2M05521484+0905191,*,88.06183624,9.08866596,0,5330.0,3.78,2MASS J05521484+0905191,05h52m14.8407s +09d05m19.1975s
2M05522239+0017292,*,88.09331512,0.29146001,0,5250.0,3.99,2MASS J05522239+0017292,05h52m22.3956s +00d17m29.256s
