,,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO,HCO+,Cloud contamination?
68,05 34 40.87 -05 22 42.24,2,6,4220,4.74,1.13,1,3.322,0.165,K16,1,-10,0.0059,-0.0778,0.005,-0.092,0.004,0.00593,0.00007,3.65,0.36,10.529,0.018,9.458,0.031,8.599,0.019,7.17,0.039,6.485,0.024,4.753,0.024,,,7.23,0.01,6.89,0.01,6.43,0.01,5.88,0.01,3.08,0.01,-1.26,D,,
69,05 34 52.763 -05 00 50.91,3,1,3220,4.78,0.127,1,2.622,0.043,K16,1,-10,,0,0,0,0,6.90E-04,1.38E-04,0.678,-10,13.056,0.021,12.39,0.034,12.161,0.019,12.017,0.024,11.825,0.024,,,,,,,,,,,,,,,,,,
70,05 34 59.01 -05 44 29.50*,2,1,4150,,0.171,1,2.502,0.038,K16,1,-10,.00309?,-0.576,0.01,0.231,0.008,0.003186,0.00007,3.44,0.13,,,,,,,9.442,0.023,8.876,0.02,7.264,0.056,,,9.51,0.01,9.12,0.01,8.71,0.01,8.03,0.01,5.45,0.02,-1.14,D,,
70,05 34 59.12 -05 44 30.85*,2,1,4150,,0.171,1,2.453,0.039,K16,1,-10,.00255?,1.0554,0.012,-1.091,0.009,0.002599,0.00007,2.92,0.12,,,,,10.315,0.031,,,,,,,,,,,,,,,,,,,,,,
71,05 35 12.59 -05 23 44.16,2,4,4380,4.04,0.299,1,2.598,0.021,K16,1,-10,,0,0,0,0,2.24E-02,4.48E-03,22.4,-10,9.841,0.019,9.086,0.037,8.648,0.023,,,,,,,,,8.2,0.01,7.69,0.01,6.06,0.02,4.46,0.08,,,1.67,D,,yes
72,05 35 16.408 -04 58 02.0,,,4000,,,,2.609,0.051,K16,1,-10,,0,0,0,0,7.15E-04,1.43E-04,0.71,-10,,,12.574,0.071,12.342,0.026,10.857,0.073,10.471,0.088,,,,,,,,,,,,,,,,,,
73,05 35 17.92 -05 15 32.76,2,2,4370,4.02,0.171,1,2.329,0.162,K16,1,-10,0.00827,0.044,0.003,-0.137,0.0029,0.00846,0.00007,10.78,1.57,11.596,0.029,10.206,0.036,9.508,0.023,8.876,0.037,8.376,0.041,,,,,,,,,,,,,,,,,,
74,05 35 23.23 -04 43 02.90,3,6,4100,3.88,0.0702,1,2.578,0.022,K16,1,-10,,0,0,0,0,8.20E-04,1.64E-04,0.833,-10,11.71,0.019,10.92,0.028,10.766,0.018,10.719,0.028,10.764,0.027,,,,,,,,,,,,,,,,,,
75,05 35 25.676 -04 57 18.35,,,4000,,,,2.551,0.056,K16,1,-10,,0,0,0,0,6.40E-04,1.28E-04,0.664,-10,13.269,0.021,12.594,0.028,12.368,0.016,,,,,,,,,,,,,,,,,,,,,,
76,05 35 26.589 -04 56 06.71**,3,1,3980,4.29,0.403,1,2.543,0.027,K16,1,-10,,,,,,7.00E-04,1.40E-04,0.731,-10,11.857,0.023,11.158,0.03,10.931,0.019,,,,,,,,,,,,,,,,,,,,,,
